mode,backend,iter,fault_param,pre_fault_height,verify_result,recovery_s,best_after,mismatches
byteflip-1,paritydb,1,1,table_08_73,PASS,12,5000,0
byteflip-1,rocksdb,1,1,MANIFEST-000009,FAIL_REOPEN,30,0,0
byteflip-1,paritydb,2,1,table_01_4c,PASS,16,5000,0
byteflip-1,rocksdb,2,1,000041.log,FAIL_REOPEN,30,0,0
byteflip-1,paritydb,3,1,table_00_17,PASS,17,5000,0
byteflip-1,rocksdb,3,1,000039.log,FAIL_REOPEN,30,0,0
byteflip-1,paritydb,4,1,table_01_49,PASS,12,5000,0
byteflip-1,rocksdb,4,1,000041.log,FAIL_REOPEN,30,0,0
byteflip-1,paritydb,5,1,table_01_58,PASS,12,5000,0
byteflip-1,rocksdb,5,1,000045.log,FAIL_REOPEN,30,0,0
byteflip-1,paritydb,6,1,table_01_25,PASS,16,5000,0
byteflip-1,rocksdb,6,1,OPTIONS-000035,PASS,12,5000,0
byteflip-1,paritydb,7,1,table_08_5a,PASS,22,5000,0
byteflip-1,rocksdb,7,1,000041.log,FAIL_REOPEN,30,0,0
byteflip-1,paritydb,8,1,table_01_30,PASS,11,5000,0
byteflip-1,rocksdb,8,1,000053.log,FAIL_REOPEN,30,0,0
byteflip-1,paritydb,9,1,table_00_18,PASS,20,5000,0
byteflip-1,rocksdb,9,1,000048.log,FAIL_REOPEN,30,0,0
byteflip-1,paritydb,10,1,table_04_33,PASS,18,5000,0
byteflip-1,rocksdb,10,1,000059.log,FAIL_REOPEN,30,0,0
byteflip-1,paritydb,11,1,table_01_2f,PASS,15,5000,0
byteflip-1,rocksdb,11,1,000060.log,FAIL_REOPEN,30,0,0
byteflip-1,paritydb,12,1,table_02_ac,PASS,12,5000,0
byteflip-1,rocksdb,12,1,000059.log,FAIL_REOPEN,30,0,0
byteflip-1,paritydb,13,1,table_02_b0,PASS,16,5000,0
byteflip-1,rocksdb,13,1,OPTIONS-000037,PASS,11,5000,0
byteflip-1,paritydb,14,1,table_01_2e,PASS,17,5000,0
byteflip-1,rocksdb,14,1,000052.log,FAIL_REOPEN,30,0,0
byteflip-1,paritydb,15,1,table_01_52,PASS,16,5000,0
byteflip-1,rocksdb,15,1,OPTIONS-000035,PASS,11,5000,0
byteflip-1,paritydb,16,1,table_01_61,PASS,19,5000,0
byteflip-1,rocksdb,16,1,OPTIONS-000037,PASS,10,5000,0
byteflip-1,paritydb,17,1,table_05_d4,PASS,15,5000,0
byteflip-1,rocksdb,17,1,000052.log,FAIL_REOPEN,30,0,0
byteflip-1,paritydb,18,1,table_02_6d,PASS,16,5000,0
byteflip-1,rocksdb,18,1,000046.log,FAIL_REOPEN,30,0,0
byteflip-1,paritydb,19,1,table_01_2f,PASS,16,5000,0
byteflip-1,rocksdb,19,1,000039.log,FAIL_REOPEN,30,0,0
byteflip-1,paritydb,20,1,table_05_ca,PASS,15,5000,0
byteflip-1,rocksdb,20,1,000059.log,FAIL_REOPEN,30,0,0
byteflip-1,paritydb,21,1,table_01_64,PASS,12,5000,0
byteflip-1,rocksdb,21,1,000060.log,FAIL_REOPEN,30,0,0
byteflip-1,paritydb,22,1,table_05_08,PASS,15,5000,0
byteflip-1,rocksdb,22,1,000045.log,FAIL_REOPEN,30,0,0
byteflip-1,paritydb,23,1,table_02_a7,PASS,15,5000,0
byteflip-1,rocksdb,23,1,000069.sst,FAIL_REOPEN,30,0,0
byteflip-1,paritydb,24,1,table_01_3f,PASS,15,5000,0
byteflip-1,rocksdb,24,1,000063.log,FAIL_REOPEN,30,0,0
byteflip-1,paritydb,25,1,table_01_1e,PASS,12,5000,0
byteflip-1,rocksdb,25,1,OPTIONS-000037,PASS,10,5000,0
byteflip-100,paritydb,1,100,table_04_66,PASS,12,5000,0
byteflip-100,rocksdb,1,100,000056.log,FAIL_REOPEN,30,0,0
byteflip-100,paritydb,2,100,table_02_74,FAIL_REOPEN,30,0,0
byteflip-100,rocksdb,2,100,000046.log,FAIL_REOPEN,30,0,0
byteflip-100,paritydb,3,100,table_02_ff,PASS,18,5000,0
byteflip-100,rocksdb,3,100,000046.log,FAIL_REOPEN,30,0,0
byteflip-100,paritydb,4,100,table_02_74,PASS,13,5000,0
byteflip-100,rocksdb,4,100,000041.log,FAIL_REOPEN,30,0,0
byteflip-100,paritydb,5,100,table_01_68,PASS,19,5000,0
byteflip-100,rocksdb,5,100,000055.log,FAIL_REOPEN,30,0,0
byteflip-100,paritydb,6,100,table_01_60,PASS,17,5000,0
